action_type,action_code,abbreviation,communities,consumer_tags_AML,consumer_tags_Finance,consumer_tags_Regulatory,date_range_function,header_information_header_support,header_information_no_header_column,parents,pii_information_csv_column_encryption,pii_information_decrypt_method,pii_information_encryption_support,query_reference_database_name,query_reference_query,query_reference_query_version,report_file_name_pattern,report_name,schedule_crontab,schedule_timezone,start_date,_row_index,dataset,source_system
REPORT,3k_report_bop,KRB,"Chase_Field, Harrahs_Ak_Chin",False,True,False,get_current_date_6am,PdfHeader(),False,daily_transaction_mart_data_feed,"{ 'Last4SSN': slice(-4, None) }",bop_kms,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BOP/RPT_12_3K.sql,v2019.12.186777.0,AZ/3K_Report/{retail_property}/{ed_year}/{ed_month}/{ed_day}/WH_Deposit_Withdrawal_{retail_property}_Report_{ed_month}-{ed_day}-{ed_year}.csv,Deposit Withdrawal {retail_property} Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,0,,
SENSOR,daily_transaction_mart_data_feed,DTMDFS,,,,,get_current_date_6am,,,,,,,SDP,"SELECT (SELECT case when max(""LAST_UPDATE_PLAYER_EVENT_CREATE_TIMESTAMP_LOCAL"") > '{{ To_date }}' then true                     else false end         FROM   sdp.core.customer_account c join sdp.core.domain d                 ON c.domain_id = d.domain_id         WHERE  domain_code = '{{ DomainCd }}')    and (SELECT case when max(""TRANSACTION_INSERT_LOCAL_TIME"") > '{{ To_date }}' then true                  else false end      FROM   sdp.core.wallet_transaction w join sdp.core.domain d              ON w.domain_id = d.domain_id      WHERE  domain_code = '{{ DomainCd }}')    and (SELECT case when max(""CREATE_LOCAL_AT"") > '{{ To_date }}' then true                  else false end      FROM   sdp.core.payment p join sdp.core.domain d              ON p.domain_id = d.domain_id      WHERE  domain_code = '{{ DomainCd }}')    and (SELECT case when max(ifnull(ifnull(""SETTLED_AT_LOCAL"",""PLACED_AT_LOCAL""), w.""SYSTEM_UPDATE_DATETIME"")) > '{{ To_date }}' then true                  else false end      FROM   sdp.core.bet w join sdp.core.domain d              ON w.domain_id = d.domain_id      WHERE  domain_code = '{{ DomainCd }}')    and (SELECT case when max(""MESSAGE_TIME_LOCAL"") > '{{ To_date }}' then true                  else false end      FROM   sdp.core.bet_asset_flow w join sdp.core.domain d              ON w.domain_id = d.domain_id      WHERE  domain_code = '{{ DomainCd }}')    and (SELECT sdp.audit.is_etl_completed('DAILY_TRANSACTION_MART_DATA_FEED',                                        '{{ DomainCd }}',                                        '{{ To_date }}')) ;",,,,5 17 * * *,Etc/UTC,,1,daily_transaction_mart_data_feed,AZ
REPORT,bop_cash_deposit_withdrawal_transaction_report,BCDWTR,,False,True,False,get_current_date_6am,PdfHeader(),False,daily_transaction_mart_data_feed,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BOP/RPT_13_CASH_DEPOSIT_WITHDRAWAL_TRANSACTION_POS.sql,v2020.03.206459.0,AZ/CASH_DEPOSIT_WITHDRAWAL_TRANSACTION_REPORT/{ed_year}/{ed_month}/{ed_day}/WH_Cash_Deposit_Withdrawal_Transaction_Report_{fd_month}-{fd_day}-{fd_year}.csv,Cash Deposit Withdrawal Transaction Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,2,,
REPORT,daily_transaction_deposit_withdrawal_report_bop,DTDWRB,,False,True,False,get_current_date_6am,PdfHeader(),False,generic_reporting.az_004.recon_check,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BOP/RPT_17_DAILY_TRANSACTION_NO_BET.sql,v2020.03.206459.0,AZ/Daily_Deposit_Withdrawal/{ed_year}/{ed_month}/{ed_day}/WH_Daily_transaction_Deposit_Withdrawal_Report_{fd_month}-{fd_day}-{fd_year}.csv,Daily Deposit Withdrawal Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,3,,
SENSOR,generic_reporting.az_004.recon_check,GR0CS,,,,,get_current_date_6am,,,,,,,SDP,"SELECT GENERIC_REPORTING.AZ_004.is_recon_completed('{{ REPORT_CODE }}',DATEADD(day,-1,'{{ To_date }}'::date));",,,,5 17 * * *,Etc/UTC,,4,generic_reporting.az_004.recon_check,AZ
REPORT,daily_transaction_report_bop,DTRB,,False,True,False,get_current_date_6am,PdfHeader(),False,generic_reporting.az_004.recon_check,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BOP/RPT_01_DAILY_TRANSACTION.sql,v2020.03.206459.0,AZ/Neo_Daily_Transaction/{ed_year}/{ed_month}/{ed_day}/WH_Daily_Transaction_Report_{fd_month}-{fd_day}-{fd_year}.csv,Daily Transaction Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,5,,
REPORT,dormant_acct_report_bop,DARB,,False,True,False,get_date_range_for_static_from_date_6am,PdfHeader(),False,dormant_player_mart_data_feed,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BOP/RPT_02_DORMANT_ACCT.sql,v2.6.1_1.9_1.0,AZ/Dormant_Report/{ed_year}/{ed_month}/{ed_day}/WH_Dormant_Account_Report_{ed_month}-{ed_day}-{ed_year}.csv,Dormant Account Report,5 17 * * *,Etc/UTC,2021-08-28 15:05:00,6,,
SENSOR,dormant_player_mart_data_feed,DPMDFS,,,,,get_date_range_for_static_from_date_6am,,,,,,,SDP,"SELECT (SELECT case when max(""LAST_UPDATE_PLAYER_EVENT_CREATE_TIMESTAMP_LOCAL"") > '{{ To_date }}' then true                     else false end         FROM   sdp.core.customer_account c join sdp.core.domain d                 ON c.domain_id = d.domain_id         WHERE  domain_code = '{{ DomainCd }}')    and (SELECT case when max(""TRANSACTION_INSERT_LOCAL_TIME"") > '{{ To_date }}' then true                  else false end      FROM   sdp.core.wallet_transaction w join sdp.core.domain d              ON w.domain_id = d.domain_id      WHERE  domain_code = '{{ DomainCd }}')    and (SELECT case when max(""CREATE_LOCAL_AT"") > '{{ To_date }}' then true                  else false end      FROM   sdp.core.payment p join sdp.core.domain d              ON p.domain_id = d.domain_id      WHERE  domain_code = '{{ DomainCd }}')    and (SELECT case when max(ifnull(ifnull(""SETTLED_AT_LOCAL"",""PLACED_AT_LOCAL""), w.""SYSTEM_UPDATE_DATETIME"")) > '{{ To_date }}' then true                  else false end      FROM   sdp.core.bet w join sdp.core.domain d              ON w.domain_id = d.domain_id      WHERE  domain_code = '{{ DomainCd }}')    and (SELECT case when max(""MESSAGE_TIME_LOCAL"") > '{{ To_date }}' then true                  else false end      FROM   sdp.core.bet_asset_flow w join sdp.core.domain d              ON w.domain_id = d.domain_id      WHERE  domain_code = '{{ DomainCd }}')    and (SELECT sdp.audit.is_etl_completed('DORMANT_PLAYER_MART_DATA_FEED',                                        '{{ DomainCd }}',                                        '{{ To_date }}'));",,,,5 17 * * *,Etc/UTC,,7,dormant_player_mart_data_feed,AZ
REPORT,dtr_deposit_failed_backin_report,DDFBR,,False,True,False,get_current_date_6am,PdfHeader(),False,generic_reporting.az_004.recon_check,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BOP/RPT_20_DTR_DEPOSIT_FAILED_BACKIN.sql,v2020.03.206459.0,AZ/DTR_Deposit_Failed_Backin/{ed_year}/{ed_month}/{ed_day}/DTR_Deposit_Failed_Backin_Report_{fd_month}-{fd_day}-{fd_year}.csv,Dtr Deposit Failed Backin,45 17 * * *,Etc/UTC,2024-12-11 15:15:00,8,,
REPORT,forfeited_bonus_winnings_report_bop,FBWRB,,False,True,False,get_current_date_6am,PdfHeader(),False,generic_reporting.az_004.recon_check,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BOP/RPT_16_FORFEITED_BONUS.sql,v2020.03.206459.0,AZ/Forfeited_Bonus_Winnings/{ed_year}/{ed_month}/{ed_day}/WH_Forfeited_Bonus_Winnings_Report_{fd_month}-{fd_day}-{fd_year}.csv,Forfeited Bonus Winnings Report,15 17 * * *,Etc/UTC,2025-03-01 15:05:00,9,,
REPORT,liability_ticket_report_bop,LTRB,,False,True,False,get_current_date_6am,PdfHeader(),False,task_mart_sports_pool_digital_recap_bets,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BE/Daily/RPT_05_Sport_Liability_Ticket.sql,v2.6.1_1.9_1.0,AZ/Sport_Pool_Liability_Ticket/{ed_year}/{ed_month}/{ed_day}/sport-pool-liability-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Sports Pool Liability Ticket Report,5 16 * * *,Etc/UTC,2025-03-01 15:05:00,10,,
SENSOR,task_mart_sports_pool_digital_recap_bets,TMSPDRBS,,,,,get_current_date_6am,,,,,,,SDP,"SELECT exists (SELECT 1                FROM   sdp.audit.digital_recap_report_audit                WHERE  domain_code = '{{ DomainCd }}'                   and report_date >= dateadd(day,-1,'{{ To_date }}'::date));",,,,5 16 * * *,Etc/UTC,,11,task_mart_sports_pool_digital_recap_bets,AZ
REPORT,month_to_date_transaction_deposit_withdrawal_report_bop,MTDTDWRB,,False,True,False,get_current_month_to_date_6am,PdfHeader(),False,daily_transaction_deposit_withdrawal_report_bop,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BOP/RPT_17_DAILY_TRANSACTION_NO_BET.sql,v2020.03.206459.0,AZ/Month_To_Date_Deposit_Withdrawal/{ed_year}/{ed_month}/{ed_day}/WH_Month_To_Date_Transaction_Deposit_Withdrawal_Report_-{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}.csv,Month To Date Transaction Deposit Withdrawal Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,12,,
REPORT,noncashable_bonus_balance_report_bop,NBBRB,,False,True,False,get_current_date_6am,PdfHeader(),False,generic_reporting.az_004.recon_check,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BOP/RPT_06_NONCASHABLE_BONUS.sql,v2020.03.206459.0,AZ/Non-Cashable_Bonus_Balance/{ed_year}/{ed_month}/{ed_day}/WH_Non-Cashable_Bonus_Balance_Report_{fd_month}-{fd_day}-{fd_year}.csv,Non-cashable Bonus Balance Report,5 17 * * *,Etc/UTC,2025-03-01 15:05:00,13,,
REPORT,noncashable_bonus_balance_report_bop_month_to_date,NBBRBMTD,,False,True,False,get_current_month_to_date_6am,PdfHeader(),False,noncashable_bonus_balance_report_bop,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/BOP/Monthly/RPT_06_NONCASHABLE_BONUS.sql,v2020.03.206459.0,AZ/Non-Cashable_Bonus_Balance_Month_To_Date/{ed_year}/{ed_month}/{ed_day}/WH_Non-Cashable_Bonus_Balance_Month_To_Date_Report_{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}.csv,Non-cashable Bonus Balance Month To Date Report,35 17 * * *,Etc/UTC,2025-03-01 15:35:00,14,,
